objid,ra,dec,u,g,r,i,z,class
1237648675066544427,238.2309692,0.7180253901,18.11264,16.17374,15.30258,14.84046,14.49269,GALAXY
1237648675066609956,238.336501,0.8078102862,19.53403,17.76807,16.83002,16.3159,15.88822,GALAXY
1237648675066675556,238.4892099,0.6880895217,17.59724,16.13419,15.39325,14.95601,14.64245,GALAXY
1237648675066675633,238.539949,0.6763971818,19.28799,17.61397,16.69113,16.20609,15.86865,GALAXY
1237648675066740788,238.6301697,0.7155371609,18.35629,16.55183,15.87767,15.63214,15.49702,STAR
1237648675066741125,238.6611669,0.812849722,19.54329,19.11089,18.98744,18.87481,18.71331,QSO
1237648675066871862,238.9775598,0.6861169217,19.12201,17.80076,17.2598,17.04298,16.93448,STAR
1237648675066871946,239.0460652,0.7304312732,18.62176,17.13944,15.65689,16.09665,15.78875,STAR
1237648675066937657,239.1187038,0.748423409,19.59723,18.18258,17.86593,17.46021,17.33221,GALAXY
1237648675067003087,239.3395568,0.7970477695,19.45511,18.37275,18.01605,17.81306,17.87426,STAR
1237648675067068572,239.4481947,0.6969923454,18.19285,17.15936,16.76038,16.59373,16.53342,STAR
1237648675067133987,239.5228761,0.6508956175,18.33754,16.96645,16.4015,16.19736,16.07204,STAR
1237648675067134405,239.6012562,0.6923518422,18.96478,17.75327,17.13841,16.75577,16.49653,GALAXY
1237648675067199544,239.6830925,0.6785942493,18.90089,16.71721,15.89666,15.60017,15.43782,STAR
1237648675067265065,239.8356082,0.765641515,19.29026,18.9874,18.80369,18.58464,18.58839,QSO
1237648675067265378,239.8844477,0.7630261489,19.54696,18.15991,17.43641,17.00897,16.73942,GALAXY
1237648675067265539,239.9449712,0.7971367999,19.33415,18.10904,17.57948,17.19707,17.01705,GALAXY
1237648675067592710,240.5582138,0.7194013764,18.83686,17.9236,17.58195,17.23962,17.16256,GALAXY
1237648675067920815,241.402813,0.73271585,18.78114,16.81459,15.80151,15.28278,14.91957,GALAXY
1237648675067986449,241.49465,0.6960500637,19.04171,17.57631,16.74022,16.23121,15.94182,GALAXY
1237648675068051854,241.73653,0.712536955,19.03035,17.05281,16.04609,15.49597,15.08456,GALAXY
1237648675068183075,241.9755815,0.6750851077,19.47611,17.6089,16.61027,16.05041,15.6327,GALAXY
1237648675068248659,242.2009038,0.6967881881,19.58038,19.2819,19.27253,18.96887,18.61905,QSO
1237648675068313818,242.3295581,0.7088748896,19.2129,18.9049,18.52192,18.45047,18.43945,QSO
1237648675068379189,242.4165975,0.7941795377,18.24813,16.6507,16.03451,15.78521,15.67699,STAR
1237648675068379190,242.376465,0.7935136015,19.40132,17.12534,16.19674,15.84442,15.65351,STAR
1237648675068379467,242.4987541,0.7772109403,18.00209,15.99435,15.04764,14.57399,14.19048,GALAXY
1237648720153870435,172.9391029,-0.8481914592,18.14534,16.63301,16.01592,15.74219,15.62094,STAR
1237648720153870477,172.838187,-0.9443735385,19.51933,18.42241,17.85637,17.49212,17.28957,GALAXY
1237648720153870563,172.8231472,-0.9746878016,18.94187,17.78875,17.22413,16.87805,16.6896,GALAXY
1237648720153935941,173.0384819,-0.9425845154,17.28657,15.41316,14.54828,14.14082,13.83188,GALAXY
1237648720153936040,173.026626,-0.9395089088,19.51587,18.57974,18.2035,18.06778,18.00063,STAR
1237648720153936056,173.0602332,-0.9175188627,18.85399,17.44323,16.78887,16.39801,16.13158,GALAXY
1237648720153936058,173.0603589,-0.9873710852,19.5411,17.73482,16.80566,16.39714,16.07579,GALAXY
1237648720153936066,173.0667005,-0.8432658706,19.07469,17.68375,16.94068,16.53177,16.26653,GALAXY
1237648720154001436,173.1798576,-0.9985184529,17.93392,16.96598,16.64815,16.54117,16.48996,STAR
1237648720154001456,173.2088775,-0.9508535612,17.72308,16.75766,16.47361,16.36852,16.32973,STAR
1237648720154001459,173.2144049,-0.8895101915,17.75735,16.65635,16.2001,16.00102,15.92429,STAR
1237648720154001462,173.2197589,-0.86155113,19.07036,17.98226,17.51581,17.30005,17.20114,STAR
1237648720154066956,173.2546651,-0.9846253841,18.91296,17.5865,17.10527,16.96909,16.91203,STAR
1237648720154066958,173.2817063,-0.9378797943,19.05616,17.87362,17.87674,18.021,18.1466,STAR
1237648720154066962,173.296058,-0.9834683622,19.09121,16.8779,15.9375,15.63741,15.46908,STAR
1237648720154066964,173.2990226,-0.8892696482,19.11404,17.94716,17.41519,17.21997,17.10371,STAR
1237648720154132515,173.4324761,-1.016452006,18.78766,16.99938,16.21717,15.93363,15.78192,STAR
1237648720154132607,173.5006723,-0.8976010686,18.43688,17.21733,17.4209,17.58131,17.64349,STAR
1237648720154198024,173.5475773,-0.9272065465,19.35904,19.1104,19.00807,18.86068,18.75383,QSO
1237648720154198030,173.5538115,-0.9965359188,19.10276,18.8026,18.8132,18.74496,18.51305,QSO
1237648720154198040,173.6074047,-1.017317627,18.39749,17.5185,17.22736,17.12049,17.063,STAR
1237648720154198046,173.6169703,-0.8694556487,18.91158,17.96549,17.84391,17.83449,17.84555,STAR
1237648720154198048,173.6220624,-1.003318144,19.00219,18.13879,17.85602,17.75402,17.73112,STAR
1237648720154198062,173.634571,-0.9300482573,17.99483,18.09118,17.97308,17.9644,17.56453,QSO
1237648720154263575,173.7885909,-1.037368463,18.04344,16.71626,16.19663,15.98489,15.89956,STAR
1237648720154263577,173.8004861,-0.9298100337,16.95469,15.90831,15.57355,15.45367,15.42518,STAR
1237648720154263674,173.8407618,-0.9991934576,18.5322,17.18199,16.4586,16.05459,15.78115,GALAXY
1237648720154329107,173.8674943,-0.9151236394,17.34769,15.91897,15.41089,15.21466,15.1135,STAR
1237648720154329145,173.9134424,-0.8649439964,17.45252,16.00373,15.48559,15.3045,15.26196,STAR
1237648720154329167,173.9479019,-0.9380349761,18.24058,17.28418,16.86563,16.68588,16.66148,STAR
1237648720154329229,173.9721029,-0.9115241623,18.75853,17.71251,17.13035,16.78109,16.57037,GALAXY
1237648720154394692,174.0679463,-0.99133347,17.62446,16.2299,15.66794,15.45264,15.34744,STAR
1237648720154394728,174.1331394,-0.8652711504,17.23076,15.34257,14.60261,14.30306,14.14057,STAR
1237648720154394789,174.1276747,-0.9961702941,17.51778,15.96334,15.42956,15.26585,15.20625,STAR
1237648720154394866,174.0759871,-0.8896170319,18.31646,17.17831,16.72776,16.45679,16.27505,GALAXY
1237648720154394868,174.0799554,-0.9494081653,18.86559,17.93797,17.59938,17.27625,17.15216,GALAXY
1237648720154394877,174.09367,-0.9635764048,18.93187,17.29161,16.45778,16.00194,15.6685,GALAXY
1237648720154394900,174.1058696,-0.9913580155,19.28275,18.16862,17.73627,17.48979,17.32665,GALAXY
1237648720154525709,174.3321826,-1.045445643,16.84178,15.78917,15.49825,15.41415,15.40475,STAR
1237648720154525794,174.4171102,-0.923294015,17.58745,16.29912,15.77302,15.5658,15.46794,STAR
1237648720154525835,174.3262119,-0.8657285117,17.95845,16.21113,15.38632,14.97331,14.72561,GALAXY
1237648720154525836,174.3644309,-0.8465665724,17.34696,15.33229,14.4329,14.00067,13.66623,GALAXY
1237648720154525915,174.3330396,-1.030557142,18.88531,17.63155,17.03513,16.66908,16.43774,GALAXY
1237648720154525920,174.3528638,-0.9638140207,17.91365,16.61925,15.99142,15.6545,15.41474,GALAXY
1237648720154656906,174.7212927,-0.9425800056,19.00871,17.91077,17.33526,17.01973,16.75568,GALAXY
1237648720154722318,174.7848974,-1.013520303,18.98835,17.93499,17.48464,17.31133,17.22673,STAR
1237648720154722389,174.7993605,-0.958186181,18.07688,16.8485,16.2953,15.98655,15.80281,GALAXY
1237648720154722403,174.8586957,-0.9204097296,18.89418,17.82234,17.38655,17.05443,16.90056,GALAXY
1237648720154787913,174.946367,-0.8804526104,19.26426,17.89005,17.36949,17.21673,17.14421,STAR
1237648720154788105,174.9484446,-0.8439406491,18.35328,16.42267,15.5444,15.13684,14.81923,GALAXY
1237648720690216998,171.6521169,-0.5452649275,19.04202,18.13814,17.88887,17.80221,17.74578,STAR
1237648720690282531,171.7741659,-0.476422237,18.61988,17.42074,16.93513,16.55151,16.61857,STAR
1237648720690282582,171.8316201,-0.5479684228,19.30915,18.24684,17.84528,17.66633,17.61505,STAR
1237648720690348079,171.951129,-0.4832954106,18.53821,18.22647,18.42684,18.14244,17.46681,STAR
1237648720690348090,171.9780498,-0.4666332803,17.04426,16.14772,15.89527,15.81448,15.81775,STAR
1237648720690348091,171.9805445,-0.4725217754,18.96725,17.82251,17.33524,17.02095,16.8532,GALAXY
1237648720690348101,172.0177962,-0.511592486,19.3131,19.09058,18.81792,18.72753,18.7201,QSO
1237648720690348168,171.9601847,-0.4511130927,19.41632,18.65988,18.52283,18.17615,18.13911,GALAXY
1237648720690348171,171.9634528,-0.470131274,17.55079,16.20182,15.49748,15.04686,14.73689,GALAXY
1237648720690348245,172.0453863,-0.4928657679,18.95048,17.83401,17.29286,16.95905,16.74847,GALAXY
1237648720690479176,172.335125,-0.6036577405,17.37433,15.97858,15.40469,15.15443,15.02839,STAR
1237648720690479219,172.2524837,-0.464674442,19.49658,18.14703,17.50024,17.15014,16.88142,GALAXY
1237648720690544719,172.4792901,-0.5352470128,18.94988,17.99244,17.69899,17.55942,17.5528,STAR
1237648720690544752,172.4941403,-0.6204017281,18.78797,17.6663,17.2464,17.08485,17.02187,STAR
1237648720690610284,172.5137576,-0.4248278487,19.38965,17.57231,16.58498,16.14404,15.75292,GALAXY
1237648720690610291,172.5296109,-0.5212280311,19.56516,17.62949,16.68799,16.29173,15.91588,GALAXY
1237648720690675715,172.653855,-0.5429913206,16.55078,15.41067,14.94006,14.75438,14.67158,STAR
1237648720690675752,172.6936519,-0.6252967191,19.38104,18.31248,17.73633,17.59461,17.40401,GALAXY
1237648720690675765,172.7263253,-0.56901002,18.78219,17.56627,16.99541,16.79009,16.63983,STAR
1237648720690675776,172.7610983,-0.422412786,18.45758,17.29462,16.85997,16.66539,16.57882,STAR
1237648720690675805,172.6657512,-0.4342844126,19.3715,18.3191,18.01028,17.88939,17.84233,STAR
1237648720690675870,172.7476813,-0.5061744213,19.51414,17.39306,16.44485,16.06323,15.81234,STAR
1237648720690741273,172.8260049,-0.4843031168,18.8189,17.89273,17.54372,17.41363,17.31821,STAR
1237648720690741281,172.8777433,-0.5476666263,18.31982,17.36315,17.05186,16.94689,16.91356,STAR
1237648720690741285,172.8879171,-0.57425842,18.86023,17.86057,17.53515,17.44031,17.38173,STAR
1237648720690741340,172.9432355,-0.4567292038,17.76132,16.24305,15.64319,15.44552,15.34653,STAR
1237648720690741353,172.7987846,-0.55458736,19.52828,19.46375,19.28571,19.19339,19.23166,QSO
1237648720690806795,172.9564068,-0.5057305664,18.09945,16.87934,16.39645,16.2097,16.13519,STAR
1237648720690806935,173.069949,-0.5055875531,18.11548,17.11484,16.80184,16.68734,16.63647,STAR
1237648720690806937,173.0872913,-0.6032403448,17.14389,15.70507,15.14758,14.94102,14.84542,STAR
1237648720690807006,172.9991127,-0.5986516132,18.57968,16.78172,15.81823,15.31559,14.8885,GALAXY
1237648720690807076,173.0800199,-0.6247286522,19.52826,18.10853,17.59705,17.3893,17.29384,STAR
1237648720690872325,173.0981849,-0.4439104102,18.56321,17.06094,16.54046,16.38278,16.31502,STAR
1237648720690872328,173.1050209,-0.4911036258,19.05254,19.02177,18.93165,18.81384,18.62225,QSO
1237648720690872333,173.1192718,-0.5767169774,18.95403,16.76134,15.87748,15.59498,15.46106,STAR
1237648720690872431,173.2430639,-0.4292665564,18.25786,17.26303,16.86523,16.68663,16.64486,STAR
1237648720690872434,173.2444189,-0.4630202727,16.55837,15.568,15.24423,15.10714,15.11522,STAR
1237648720690872457,173.1086894,-0.5165900883,19.43694,18.03432,17.45634,17.27229,17.15916,STAR
1237648720690872477,173.1442852,-0.5965442478,19.37631,19.42547,19.45366,19.28736,19.17858,QSO
1237648720690872486,173.1605322,-0.5487299729,19.29889,17.96902,17.27344,16.8995,16.63824,GALAXY
1237648720690937867,173.2593717,-0.5025298183,18.85049,17.84582,17.47629,17.33846,17.34741,STAR
1237648720690937870,173.2628251,-0.5870773705,18.14501,16.79992,16.30426,16.14146,16.10781,STAR
1237648720690937879,173.2799551,-0.4329900086,16.65928,15.12397,14.49263,14.26027,14.17529,STAR
1237648720690937931,173.3412192,-0.5725619762,18.53921,17.19631,16.64381,16.41402,16.33263,STAR
1237648720690937975,173.2994619,-0.4646675678,19.15216,17.80508,16.98887,16.51725,16.17854,GALAXY
1237648720691003418,173.4068423,-0.5897749005,19.17735,17.77072,17.18398,16.93232,16.79774,STAR
1237648720691003423,173.4288968,-0.5421585049,18.15841,16.75034,16.20486,16.00669,15.92221,STAR
1237648720691003431,173.4537264,-0.4951520226,17.7165,16.23134,15.68185,15.48992,15.4255,STAR
1237648720691003439,173.4738329,-0.4721546639,16.58746,15.08659,14.54309,14.36515,14.31197,STAR
1237648720691003465,173.5038063,-0.4991329572,19.37991,17.9173,17.38715,17.18975,17.09836,STAR
1237651066277724196,175.8790843,64.54682201,18.38824,18.21608,17.97886,17.49884,17.5652,QSO
1237651066277724224,175.6777317,64.5380374,19.34087,17.56746,16.74365,16.36441,16.07912,GALAXY
1237651066277724270,175.8805107,64.57480252,19.12101,17.73742,17.19295,16.90048,16.67536,GALAXY
1237651066277724280,175.8710435,64.67224956,18.52088,16.63831,15.75155,15.28174,14.89423,GALAXY
1237651066277724331,175.5831766,64.66022662,18.86977,17.87257,17.44876,17.22007,17.08759,GALAXY
1237651066277789741,176.0819143,64.58211067,19.5572,17.9737,17.1867,16.71468,16.49499,GALAXY
1237651066277789800,176.0057623,64.57610981,19.59192,19.41606,19.23519,19.12886,18.9523,QSO
1237651066277789808,176.0395216,64.53404042,19.43557,18.59831,18.3061,18.21321,18.17326,STAR
1237651066277789816,176.0392459,64.62637436,18.33541,16.56523,15.65819,15.14614,14.72853,GALAXY
1237651066277789829,176.0733936,64.56050176,18.56823,16.6248,15.75549,15.27749,14.90426,GALAXY
1237651066277789836,176.1070931,64.55054109,19.01035,17.26046,16.3641,15.93852,15.60409,GALAXY
1237651066277789849,176.1170109,64.62552425,18.95765,17.92062,17.58303,17.27741,17.20318,GALAXY
1237651066277789860,176.1809665,64.58308612,17.8573,15.92303,15.04134,14.60837,14.28197,GALAXY
1237651066277855329,176.3111587,64.59001658,19.30013,17.51643,16.5151,16.0014,15.59774,GALAXY
1237651066277855335,176.2987222,64.68345876,19.16865,17.14901,16.24588,15.79839,15.46912,GALAXY
1237651066277855389,176.4509236,64.58458402,18.58556,16.72375,15.822,15.35676,15.04345,GALAXY
1237651066277855453,176.6385449,64.59814229,19.3852,18.07185,17.58351,17.27852,17.07235,GALAXY
1237651066277920819,176.6714916,64.56973672,19.2734,17.47389,16.56533,16.10552,15.74846,GALAXY
1237651066277986381,177.0449013,64.73059462,18.23742,17.08034,16.42665,16.06924,15.80276,GALAXY
1237651066277986385,177.1072231,64.5958247,18.64833,17.42077,16.89943,16.54452,16.29044,GALAXY
1237651066278182935,178.011916,64.7703204,17.23751,16.08045,15.84369,15.76911,15.75339,STAR
1237651066278183029,178.0742372,64.75430665,19.55982,19.44618,19.11944,19.20115,19.18387,QSO
1237651066278183062,178.1746981,64.81762494,19.00419,18.43477,17.97246,17.59856,17.54358,GALAXY
1237651066278248561,178.6347931,64.75991998,18.29368,17.12409,16.44911,16.0561,15.82392,GALAXY
1237651066278314086,178.8870937,64.79138575,19.27052,18.16374,17.59836,17.27375,17.10036,GALAXY
1237651066278445170,179.6870232,64.75304882,18.48344,18.39473,18.06316,18.01555,18.015,QSO
1237651066278510596,179.790626,64.88552156,18.95699,17.79711,17.54228,17.42803,17.42064,STAR
1237651066278510759,179.8142895,64.82676285,18.30479,16.98991,16.36738,16.02355,15.74484,GALAXY
1237651066278510784,179.9270117,64.73867064,19.42787,18.22568,17.66589,17.3146,17.10805,GALAXY
1237651066278576140,180.1377152,64.90517055,17.18334,16.0701,16.17941,16.2698,16.36917,STAR
1237651066278641762,180.5829465,64.92407101,19.48219,18.61717,18.3104,18.21183,18.24158,STAR
1237651066278707213,180.8828864,64.85039924,17.46824,17.50798,17.76772,18.02784,18.2602,QSO
1237651066278772779,181.3420117,64.80114058,18.68154,18.57624,18.591,18.42987,18.53763,QSO
1237651066278772874,181.4105277,64.84152059,19.53242,18.69145,18.4133,18.30945,18.25463,STAR
1237651066278772879,181.449753,64.82267988,19.29732,18.89883,18.86302,19.00166,18.82499,QSO
1237651066278838313,181.5506077,64.8980092,19.44388,19.33106,19.11928,18.89673,18.71787,QSO
1237651066278838384,181.7906051,64.94623526,19.47746,17.61973,16.59617,16.17842,15.79808,GALAXY
1237651066278903904,182.0907905,64.91490632,18.7035,18.5336,18.45709,18.35523,18.18426,QSO
1237651066278904033,182.2085385,64.92565222,19.28416,18.42461,18.14379,18.04542,18.06003,STAR
1237651066279231594,183.892869,64.89349117,19.32919,18.00449,17.22238,16.77591,16.49967,GALAXY
1237651066279297249,184.2092256,64.96029178,18.65167,17.18527,16.4672,16.08408,15.79448,GALAXY
1237651066279493777,185.214087,64.87457151,19.21558,18.72757,18.66665,18.68853,18.47731,QSO
1237651066279493782,185.2374877,64.82840309,19.32445,18.15898,17.54844,17.20835,16.97208,GALAXY
1237651066279624832,185.8038836,64.79841047,19.49065,17.6379,16.70196,16.2561,15.93172,GALAXY
1237651066279624856,185.8885549,64.81580274,19.40381,18.47837,17.7669,17.37657,17.18323,GALAXY
1237651066279755985,186.764566,64.97872754,19.57911,17.66449,16.6498,16.20287,15.85732,GALAXY
1237651066279821325,186.834813,64.80150667,14.72825,13.20555,12.44427,12.06544,11.75742,GALAXY
1237651066279821326,186.8897226,64.79176545,19.54718,17.68226,16.90934,16.57587,16.33371,GALAXY
1237651066279821498,186.9939605,64.91230155,19.38356,19.13848,19.00665,18.96199,18.8507,QSO
1237648705135968656,233.7493219,0.5879334861,19.14117,17.27155,16.31453,15.87336,15.5152,GALAXY
1237648705136033925,233.8458123,0.5253649067,17.78193,16.43079,16.97145,15.69565,15.49236,STAR
1237648705136099425,234.0145053,0.6303400936,19.09081,16.78462,15.74021,15.20531,14.94568,GALAXY
1237648705136165111,234.0695244,0.5266639334,19.09858,17.97219,17.30184,16.94398,16.66336,GALAXY
1237648705136165126,234.0770327,0.4844003989,18.9217,17.83718,17.31191,16.93746,16.74082,GALAXY
1237648705136165309,234.0908072,0.5705182598,19.58449,18.24557,17.45923,17.02779,16.70487,GALAXY
1237648705136230589,234.3256175,0.5364852705,18.46263,17.42684,17.06524,16.92695,16.8586,STAR
1237648705136230820,234.3512192,0.5540227934,18.14572,16.89562,16.33768,16.01118,15.80122,GALAXY
1237648705136296014,234.406843,0.4655428021,18.46074,16.76861,16.00134,15.59312,15.28116,GALAXY
1237648705136296341,234.4719368,0.6075605538,19.24112,18.1712,17.7722,17.44882,17.33758,GALAXY
1237648705136427033,234.6887053,0.5255443068,17.48079,16.18209,16.51004,15.30599,15.08292,STAR
1237648705136427233,234.7965051,0.4335311305,18.9181,18.59233,18.14826,17.98924,17.55648,QSO
1237648705136492894,234.8681943,0.6234185139,19.41497,19.23612,18.98149,18.7808,18.83568,QSO
1237648705136493020,234.9521687,0.4927242265,18.97383,17.79458,17.09617,16.67336,16.45434,GALAXY
1237648705136558316,235.0044873,0.5174825544,18.74104,16.66122,15.54734,15.06243,14.66732,GALAXY
1237648705136558539,235.1060388,0.5305103874,19.44975,19.13386,19.0564,18.96998,18.95119,QSO
1237648705136623888,235.1105307,0.458515597,19.31298,17.99732,17.26361,16.85847,16.53557,GALAXY
1237648705136624016,235.199735,0.4410290167,19.39626,18.26639,17.53201,17.1662,16.92536,GALAXY
1237648705136689227,235.3181384,0.4300688322,19.23077,18.27382,17.96935,17.86463,17.81168,STAR
1237648705136689421,235.2994102,0.5576987028,19.48384,18.42949,18.03291,17.85563,17.7475,STAR
1237648705136689444,235.3163898,0.5980561714,19.50347,18.19377,17.64747,17.41578,17.29833,STAR
1237648705136689485,235.3445565,0.5145511396,19.08995,17.15163,16.16932,15.70767,15.34771,GALAXY
1237648705136754946,235.4143881,0.557186636,19.43662,17.59132,16.57449,16.06407,15.6697,GALAXY
1237648705136754967,235.4175444,0.49047446,19.1869,17.07793,16.03355,15.52365,15.12032,GALAXY
1237648705136820364,235.6775307,0.5850495665,16.30312,15.07134,14.84544,14.78,14.77517,STAR
1237648705136885792,235.741418,0.5401957272,18.22709,16.15041,15.07285,14.57196,14.19689,GALAXY
1237648705136885846,235.7293084,0.447408946,18.77079,17.79073,17.47875,17.35925,17.29774,STAR
1237648705136885941,235.8063949,0.4993354035,19.01852,19.07464,19.3264,19.519,19.63577,STAR
1237648705136886040,235.7557178,0.5682829307,19.35139,18.13973,17.30141,16.80046,16.48305,GALAXY
1237648705136886197,235.8505358,0.4487688799,19.54225,18.40664,17.82269,17.4341,17.26038,GALAXY
1237648705136951671,235.9134928,0.4362742029,19.51991,18.37838,17.87787,17.58082,17.45397,GALAXY
1237648705137017019,236.0706309,0.5661077153,18.1932,17.10396,16.83347,16.75259,16.72397,STAR
1237648705137082435,236.1906193,0.4573633576,18.63708,17.47593,17.2284,16.86181,16.75106,STAR
1237648705137082856,236.2897062,0.6064075818,18.48317,16.74981,15.99095,15.61019,15.38804,GALAXY
1237648705137147931,236.3157305,0.5431293994,19.35567,19.16674,18.83053,18.74405,18.61226,QSO
1237648705137148024,236.3568169,0.5269026051,18.85016,17.69815,17.53997,17.51503,17.52063,STAR
1237648705137148073,236.3847535,0.5090097458,19.14833,18.13227,17.69651,17.52294,17.42203,STAR
1237648705137213677,236.5632041,0.5950933398,18.35985,17.35938,16.97911,16.8263,16.7528,STAR
1237648705137213843,236.5025334,0.5568533171,18.14724,16.96028,16.31061,15.91915,15.69506,GALAXY
1237648705137213973,236.5812166,0.4707468892,18.99352,17.71172,17.07964,16.70741,16.51463,GALAXY
1237648705137279101,236.7084328,0.521305301,19.44214,18.41232,18.04152,17.90393,17.86111,STAR
1237648705137279138,236.726187,0.4774391298,19.36214,18.04253,17.4425,17.1889,17.04878,STAR
1237648705137279170,236.7401937,0.5665514344,17.63545,16.64163,16.2399,16.08391,16.01718,STAR
1237648705137279306,236.6565979,0.6050629684,19.31868,18.05825,17.44019,17.10903,16.86737,GALAXY
1237648705137344674,236.8537865,0.5621481317,16.53421,15.3509,15.14929,15.04229,14.98785,STAR
1237648705137344812,236.7751257,0.5775317892,19.42208,18.22952,17.40462,16.93871,16.61179,GALAXY
1237648705137410101,236.9412479,0.4304891419,18.66199,17.37753,17.10297,16.98405,16.94508,STAR
1237648705137475674,237.1277839,0.6157594579,15.89747,15.32091,15.57094,15.79645,15.9645,STAR
1237648705137475851,237.0713963,0.519230752,19.58004,19.16703,18.81772,18.7305,18.61304,QSO
1237648704583237808,197.4061674,0.1271832382,18.9768,18.00608,17.39267,17.03388,16.79584,GALAXY
1237648704583237830,197.4219182,0.01035369874,18.95958,17.46452,16.70924,16.32806,16.07051,GALAXY
1237648704583237838,197.4343117,0.04541849628,19.59051,18.06262,17.49744,17.29735,17.19648,STAR
1237648704583237865,197.4877818,0.05110440894,19.47433,18.09983,17.57639,17.40391,17.30193,STAR
1237648704583237880,197.5037584,0.04019388198,19.29058,18.33696,17.94084,17.78071,17.74228,STAR
1237648704583303187,197.5699449,0.1442344328,18.24462,17.3171,17.04473,16.92858,16.89776,STAR
1237648704583303236,197.644788,0.06512807242,18.03846,17.69471,17.49939,17.53185,17.58933,QSO
1237648704583303239,197.6532702,0.03695588078,19.20518,18.01169,17.50042,17.29597,17.17374,STAR
1237648704583303284,197.5525601,0.1283400343,19.59095,18.64687,18.40397,18.31629,18.33297,STAR
1237648704583303331,197.633274,0.03660870893,18.92056,18.23281,17.88064,17.50762,17.50804,GALAXY
1237648704583303375,197.686298,0.03209035553,17.09035,15.79607,15.20595,14.85026,14.61104,GALAXY
1237648704583368707,197.6902366,0.1436208327,18.5585,17.18439,16.64937,16.45155,16.3635,STAR
1237648704583368755,197.7607793,0.08195090606,18.36157,17.41839,17.0991,17.07961,17.0452,STAR
1237648704583368774,197.8190862,0.2104589051,17.26126,16.36665,16.14955,16.07613,16.03706,STAR
1237648704583368851,197.7230557,0.1273338264,19.12846,17.81906,17.23998,16.88122,16.64752,GALAXY
1237648704583368856,197.7229556,0.10079526,19.11315,17.96332,17.60113,17.34388,17.24948,GALAXY
1237648704583368861,197.7282067,0.1796922583,18.69602,16.6353,15.65029,15.20494,14.83192,GALAXY
1237648704583368877,197.727346,0.06396384323,19.12603,17.14174,16.159,15.72856,15.34164,GALAXY
1237648704583368908,197.755118,0.05303160371,18.83971,17.40578,16.50555,16.0093,15.70239,GALAXY
1237648704583369017,197.8293693,0.03739687498,19.10187,17.82706,17.37646,17.01209,16.83823,GALAXY
1237648704583434243,197.84057,0.04745528778,15.93382,14.92095,14.60854,14.48307,14.43605,STAR
1237648704583434255,197.850032,0.01954104769,16.65472,15.14578,14.57032,14.33019,14.19548,STAR
1237648704583434256,197.8498344,0.02011965392,19.19495,18.27813,17.67437,17.65216,17.45323,STAR
1237648704583434281,197.9015198,0.1262889364,18.87988,17.74647,17.74275,17.86536,17.96578,STAR
1237648704583434287,197.9047616,0.1343131865,17.05552,15.15462,14.46207,14.57833,14.03715,STAR
1237648704583434335,197.9651877,0.1823681591,18.29993,16.85896,16.35413,16.1645,16.07335,STAR
1237648704583434338,197.978262,0.05154079677,18.15081,17.18225,16.84079,16.69652,16.64928,STAR
1237648704583434356,197.8374097,0.06168494926,18.99338,17.7454,17.20713,16.84814,16.64669,GALAXY
1237648704583434360,197.8387095,0.2051393504,19.32387,18.12269,17.5916,17.39395,17.26612,STAR
1237648704583434392,197.8748667,0.1493660124,17.8177,15.92377,15.05735,14.63936,14.31872,GALAXY
1237648704583434472,197.952337,0.1942400684,19.57531,18.70999,18.42518,18.30376,18.28838,STAR
1237648704583434506,197.9854866,0.1597587225,19.31322,19.11321,19.093,18.90561,18.77035,QSO
1237648704583434629,197.9696256,0.02982905507,19.24454,17.9986,17.5193,17.22097,17.07721,GALAXY
1237648704583499789,198.0240338,0.04984147463,17.22509,16.2841,15.98947,15.86261,15.82307,STAR
1237648704583499804,198.0728021,0.1488167794,17.83024,16.57004,16.00912,15.75144,15.60422,STAR
1237648704583499807,198.0806341,0.04999468009,18.29844,16.79933,16.22437,16.0085,15.88398,STAR
1237648704583499813,198.1085192,0.1179578028,17.69751,16.69667,16.38915,16.26778,16.21189,STAR
1237648704583499840,198.1160451,0.03156372089,18.99875,18.09192,17.82444,17.69391,17.66196,STAR
1237648704583499846,198.1247984,0.04719835246,19.2409,17.68201,17.10963,16.88826,16.78087,STAR
1237648704583499850,198.1284545,0.09929364046,17.52278,16.53331,16.23563,16.11634,16.05849,STAR
1237648704583565327,198.1384002,0.1294351339,17.04321,16.08874,15.81654,15.72776,15.67607,STAR
1237648704583565337,198.1644473,0.1115861128,17.3033,15.54069,14.94044,14.78336,14.6965,STAR
1237648704583565386,198.2367028,0.03114837023,16.8329,15.86003,15.518,15.37787,15.30978,STAR
1237648704583565389,198.2452062,0.1109914796,17.10145,15.58282,14.99433,14.78371,14.65701,STAR
1237648704583565410,198.2566577,0.1399697433,19.06184,17.09073,16.21841,15.87348,15.67766,STAR
1237648704583565434,198.2688715,0.1625798775,18.67661,17.7905,17.55834,17.47573,17.45798,STAR
1237648704583565450,198.2756057,0.06588621012,18.59841,17.68666,17.43493,17.33863,17.29966,STAR
1237648704583565496,198.166983,0.1665135626,19.13927,18.19953,17.97886,17.88003,17.83993,STAR
1237648704583565512,198.1894992,0.1897337362,19.26683,17.38526,16.45173,16.03244,15.70368,GALAXY
1237648704583630890,198.3493813,0.1009003006,19.32959,18.28271,17.81326,17.64,17.55946,STAR
